,gene_ids,feature_types,genome,n_counts,gene_name,n_droplets
AL161621.1,ENSG00000230852,Gene Expression,GRCh38,1.0,AL161621.1,1
HBB,ENSG00000244734,Gene Expression,GRCh38,2.0,HBB,2
AC099542.1,ENSG00000241593,Gene Expression,GRCh38,10.0,AC099542.1,10
SYT16,ENSG00000139973,Gene Expression,GRCh38,269.0,SYT16,262
SYT9,ENSG00000170743,Gene Expression,GRCh38,1.0,SYT9,1
LINC02019,ENSG00000273356,Gene Expression,GRCh38,0.0,LINC02019,0
DHRS13,ENSG00000167536,Gene Expression,GRCh38,291.0,DHRS13,283
MED30,ENSG00000164758,Gene Expression,GRCh38,755.0,MED30,728
AC104248.1,ENSG00000253796,Gene Expression,GRCh38,2.0,AC104248.1,1
AC097532.2,ENSG00000272769,Gene Expression,GRCh38,1.0,AC097532.2,1
DCC,ENSG00000187323,Gene Expression,GRCh38,2.0,DCC,2
AP005328.2,ENSG00000272461,Gene Expression,GRCh38,11.0,AP005328.2,11
GADL1,ENSG00000144644,Gene Expression,GRCh38,2.0,GADL1,2
AC090922.1,ENSG00000272486,Gene Expression,GRCh38,9.0,AC090922.1,9
PMEL,ENSG00000185664,Gene Expression,GRCh38,246.0,PMEL,239
SEC11A,ENSG00000140612,Gene Expression,GRCh38,8042.0,SEC11A,7283
ADD3,ENSG00000148700,Gene Expression,GRCh38,1080.0,ADD3,1047
CIC,ENSG00000079432,Gene Expression,GRCh38,483.0,CIC,473
DNM2,ENSG00000079805,Gene Expression,GRCh38,6457.0,DNM2,5980
PSMB8,ENSG00000204264,Gene Expression,GRCh38,5778.0,PSMB8,5379
LINC01486,ENSG00000256560,Gene Expression,GRCh38,3.0,LINC01486,3
AC106791.1,ENSG00000250159,Gene Expression,GRCh38,20.0,AC106791.1,19
ATF4,ENSG00000128272,Gene Expression,GRCh38,19055.0,ATF4,15936
AP001189.6,ENSG00000255479,Gene Expression,GRCh38,16.0,AP001189.6,16
AATBC,ENSG00000215458,Gene Expression,GRCh38,3.0,AATBC,3
AC020891.2,ENSG00000259306,Gene Expression,GRCh38,3.0,AC020891.2,3
AL139385.1,ENSG00000275880,Gene Expression,GRCh38,133.0,AL139385.1,133
RBAK,ENSG00000146587,Gene Expression,GRCh38,165.0,RBAK,164
AC022540.1,ENSG00000232342,Gene Expression,GRCh38,5.0,AC022540.1,5
RAB30-AS1,ENSG00000246067,Gene Expression,GRCh38,204.0,RAB30-AS1,196
NME3,ENSG00000103024,Gene Expression,GRCh38,1670.0,NME3,1614
AC069029.1,ENSG00000259621,Gene Expression,GRCh38,0.0,AC069029.1,0
RNPEP,ENSG00000176393,Gene Expression,GRCh38,2230.0,RNPEP,2132
SH3BGR,ENSG00000185437,Gene Expression,GRCh38,59.0,SH3BGR,57
TXNRD1,ENSG00000198431,Gene Expression,GRCh38,9382.0,TXNRD1,8507
AC027288.3,ENSG00000257894,Gene Expression,GRCh38,16.0,AC027288.3,15
SEC63,ENSG00000025796,Gene Expression,GRCh38,3243.0,SEC63,3067
PCGF2,ENSG00000277258,Gene Expression,GRCh38,721.0,PCGF2,707
AC104984.1,ENSG00000264125,Gene Expression,GRCh38,7.0,AC104984.1,7
AREG,ENSG00000109321,Gene Expression,GRCh38,26.0,AREG,25
ATPAF2,ENSG00000171953,Gene Expression,GRCh38,667.0,ATPAF2,649
AL451049.1,ENSG00000272592,Gene Expression,GRCh38,1.0,AL451049.1,1
PADI4,ENSG00000159339,Gene Expression,GRCh38,2.0,PADI4,2
AC037459.2,ENSG00000251034,Gene Expression,GRCh38,6.0,AC037459.2,6
AC022858.1,ENSG00000254031,Gene Expression,GRCh38,1.0,AC022858.1,1
PARD6G,ENSG00000178184,Gene Expression,GRCh38,143.0,PARD6G,142
GXYLT2,ENSG00000172986,Gene Expression,GRCh38,205.0,GXYLT2,201
SLC9C2,ENSG00000162753,Gene Expression,GRCh38,12.0,SLC9C2,12
SPRY1,ENSG00000164056,Gene Expression,GRCh38,150.0,SPRY1,145
DGKH,ENSG00000102780,Gene Expression,GRCh38,282.0,DGKH,270
OR5V1,ENSG00000243729,Gene Expression,GRCh38,1.0,OR5V1,1
AP1S2,ENSG00000182287,Gene Expression,GRCh38,94.0,AP1S2,94
CSNK1E,ENSG00000213923,Gene Expression,GRCh38,3434.0,CSNK1E,3299
AJ006995.1,ENSG00000234083,Gene Expression,GRCh38,1.0,AJ006995.1,1
SRFBP1,ENSG00000151304,Gene Expression,GRCh38,750.0,SRFBP1,732
FAM120C,ENSG00000184083,Gene Expression,GRCh38,115.0,FAM120C,111
EBF1,ENSG00000164330,Gene Expression,GRCh38,1.0,EBF1,1
NME6,ENSG00000172113,Gene Expression,GRCh38,969.0,NME6,924
HTR3E,ENSG00000186038,Gene Expression,GRCh38,3.0,HTR3E,3
ELF3-AS1,ENSG00000234678,Gene Expression,GRCh38,202.0,ELF3-AS1,198
GFAP,ENSG00000131095,Gene Expression,GRCh38,3.0,GFAP,3
GATM,ENSG00000171766,Gene Expression,GRCh38,20.0,GATM,20
AL160408.4,ENSG00000241475,Gene Expression,GRCh38,6.0,AL160408.4,6
HNRNPH2,ENSG00000126945,Gene Expression,GRCh38,1836.0,HNRNPH2,1793
MRPS6,ENSG00000243927,Gene Expression,GRCh38,2345.0,MRPS6,2248
SCYGR10,ENSG00000284622,Gene Expression,GRCh38,1.0,SCYGR10,1
DNASE1L3,ENSG00000163687,Gene Expression,GRCh38,10.0,DNASE1L3,9
AC092910.3,ENSG00000242622,Gene Expression,GRCh38,21.0,AC092910.3,20
KIF11,ENSG00000138160,Gene Expression,GRCh38,69.0,KIF11,67
GALT,ENSG00000213930,Gene Expression,GRCh38,1959.0,GALT,1848
SMCO4,ENSG00000166002,Gene Expression,GRCh38,73.0,SMCO4,70
PTOV1,ENSG00000104960,Gene Expression,GRCh38,2812.0,PTOV1,2653
IGDCC4,ENSG00000103742,Gene Expression,GRCh38,281.0,IGDCC4,276
AC092192.1,ENSG00000282535,Gene Expression,GRCh38,1.0,AC092192.1,1
DEGS1,ENSG00000143753,Gene Expression,GRCh38,3094.0,DEGS1,2903
MT-ND4,ENSG00000198886,Gene Expression,GRCh38,577158.0,MT-ND4,61901
DOCK9,ENSG00000088387,Gene Expression,GRCh38,632.0,DOCK9,618
ARHGEF4,ENSG00000136002,Gene Expression,GRCh38,35.0,ARHGEF4,34
GABRP,ENSG00000094755,Gene Expression,GRCh38,1.0,GABRP,1
TMEM220,ENSG00000187824,Gene Expression,GRCh38,257.0,TMEM220,239
LINC01322,ENSG00000244128,Gene Expression,GRCh38,41.0,LINC01322,39
XYLB,ENSG00000093217,Gene Expression,GRCh38,82.0,XYLB,80
UNC5B-AS1,ENSG00000237512,Gene Expression,GRCh38,1.0,UNC5B-AS1,1
RBM27,ENSG00000091009,Gene Expression,GRCh38,557.0,RBM27,549
ARF1,ENSG00000143761,Gene Expression,GRCh38,12428.0,ARF1,10912
WAC,ENSG00000095787,Gene Expression,GRCh38,3660.0,WAC,3471
ALPG,ENSG00000163286,Gene Expression,GRCh38,25.0,ALPG,24
ACY1,ENSG00000243989,Gene Expression,GRCh38,60.0,ACY1,58
RSL1D1,ENSG00000171490,Gene Expression,GRCh38,3467.0,RSL1D1,3276
SEC16A,ENSG00000148396,Gene Expression,GRCh38,2147.0,SEC16A,2050
SUB1,ENSG00000113387,Gene Expression,GRCh38,14201.0,SUB1,12266
AC008429.3,ENSG00000254295,Gene Expression,GRCh38,1.0,AC008429.3,1
RIMKLB,ENSG00000166532,Gene Expression,GRCh38,2412.0,RIMKLB,2327
ZNF649,ENSG00000198093,Gene Expression,GRCh38,256.0,ZNF649,253
RRM2B,ENSG00000048392,Gene Expression,GRCh38,1094.0,RRM2B,1065
ERLIN1,ENSG00000107566,Gene Expression,GRCh38,1328.0,ERLIN1,1294
ALDH4A1,ENSG00000159423,Gene Expression,GRCh38,606.0,ALDH4A1,596
AP001065.2,ENSG00000277352,Gene Expression,GRCh38,1.0,AP001065.2,1
GAS6,ENSG00000183087,Gene Expression,GRCh38,55.0,GAS6,52
ATP6V1D,ENSG00000100554,Gene Expression,GRCh38,2205.0,ATP6V1D,2111
AC106869.1,ENSG00000234690,Gene Expression,GRCh38,1.0,AC106869.1,1
PPP1R1C,ENSG00000150722,Gene Expression,GRCh38,139.0,PPP1R1C,138
OFD1,ENSG00000046651,Gene Expression,GRCh38,776.0,OFD1,751
HOXB2,ENSG00000173917,Gene Expression,GRCh38,288.0,HOXB2,283
ARVCF,ENSG00000099889,Gene Expression,GRCh38,123.0,ARVCF,120
HLF,ENSG00000108924,Gene Expression,GRCh38,338.0,HLF,330
HNRNPD,ENSG00000138668,Gene Expression,GRCh38,5890.0,HNRNPD,5485
AC107871.1,ENSG00000260007,Gene Expression,GRCh38,9.0,AC107871.1,8
LYZL4,ENSG00000157093,Gene Expression,GRCh38,3.0,LYZL4,3
AL009181.1,ENSG00000233427,Gene Expression,GRCh38,1.0,AL009181.1,1
CHPT1,ENSG00000111666,Gene Expression,GRCh38,1184.0,CHPT1,1154
ELFN2,ENSG00000166897,Gene Expression,GRCh38,3.0,ELFN2,3
ZNF770,ENSG00000198146,Gene Expression,GRCh38,715.0,ZNF770,699
KCNJ13,ENSG00000115474,Gene Expression,GRCh38,3.0,KCNJ13,3
EAPP,ENSG00000129518,Gene Expression,GRCh38,2364.0,EAPP,2229
IGKV1-8,ENSG00000240671,Gene Expression,GRCh38,1.0,IGKV1-8,1
WFDC2,ENSG00000101443,Gene Expression,GRCh38,3.0,WFDC2,3
BRD3OS,ENSG00000235106,Gene Expression,GRCh38,146.0,BRD3OS,142
GALNTL6,ENSG00000174473,Gene Expression,GRCh38,3.0,GALNTL6,3
SLC25A23,ENSG00000125648,Gene Expression,GRCh38,144.0,SLC25A23,142
AC099681.3,ENSG00000233977,Gene Expression,GRCh38,1.0,AC099681.3,1
AC009121.2,ENSG00000263080,Gene Expression,GRCh38,4.0,AC009121.2,4
ZNF562,ENSG00000171466,Gene Expression,GRCh38,1182.0,ZNF562,1133
MRPS30,ENSG00000112996,Gene Expression,GRCh38,524.0,MRPS30,516
NUTM2G,ENSG00000188152,Gene Expression,GRCh38,2.0,NUTM2G,2
GGCT,ENSG00000006625,Gene Expression,GRCh38,1037.0,GGCT,1003
UNK,ENSG00000132478,Gene Expression,GRCh38,544.0,UNK,525
C8orf87,ENSG00000279847,Gene Expression,GRCh38,1.0,C8orf87,1
WDFY4,ENSG00000128815,Gene Expression,GRCh38,3.0,WDFY4,3
SLC25A25,ENSG00000148339,Gene Expression,GRCh38,1413.0,SLC25A25,1371
KRTAP5-11,ENSG00000204571,Gene Expression,GRCh38,1.0,KRTAP5-11,1
NACA2,ENSG00000253506,Gene Expression,GRCh38,39.0,NACA2,39
SLC25A4,ENSG00000151729,Gene Expression,GRCh38,2312.0,SLC25A4,2194
AP003122.2,ENSG00000254971,Gene Expression,GRCh38,3.0,AP003122.2,3
NQO1,ENSG00000181019,Gene Expression,GRCh38,1602.0,NQO1,1553
WNT10B,ENSG00000169884,Gene Expression,GRCh38,10.0,WNT10B,10
AC004039.1,ENSG00000230612,Gene Expression,GRCh38,0.0,AC004039.1,0
AC254562.3,ENSG00000281538,Gene Expression,GRCh38,1.0,AC254562.3,1
AP000442.1,ENSG00000255008,Gene Expression,GRCh38,3.0,AP000442.1,3
AC093083.1,ENSG00000235337,Gene Expression,GRCh38,2.0,AC093083.1,2
SLC12A6,ENSG00000140199,Gene Expression,GRCh38,183.0,SLC12A6,179
AC023421.2,ENSG00000267193,Gene Expression,GRCh38,1.0,AC023421.2,1
CSRNP3,ENSG00000178662,Gene Expression,GRCh38,55.0,CSRNP3,53
COX10,ENSG00000006695,Gene Expression,GRCh38,456.0,COX10,441
R3HCC1L,ENSG00000166024,Gene Expression,GRCh38,736.0,R3HCC1L,718
AKR1C1,ENSG00000187134,Gene Expression,GRCh38,16.0,AKR1C1,16
AL365275.1,ENSG00000253194,Gene Expression,GRCh38,1.0,AL365275.1,1
AC244131.2,ENSG00000275119,Gene Expression,GRCh38,1.0,AC244131.2,1
AFMID,ENSG00000183077,Gene Expression,GRCh38,330.0,AFMID,315
IDH3B,ENSG00000101365,Gene Expression,GRCh38,1460.0,IDH3B,1401
SSBP4,ENSG00000130511,Gene Expression,GRCh38,1107.0,SSBP4,1086
DHX16,ENSG00000204560,Gene Expression,GRCh38,610.0,DHX16,597
AC073529.1,ENSG00000234129,Gene Expression,GRCh38,5.0,AC073529.1,5
TERC,ENSG00000270141,Gene Expression,GRCh38,4.0,TERC,4
NTN1,ENSG00000065320,Gene Expression,GRCh38,25.0,NTN1,25
EGR2,ENSG00000122877,Gene Expression,GRCh38,107.0,EGR2,106
KMT5A,ENSG00000183955,Gene Expression,GRCh38,1181.0,KMT5A,1123
SLC7A5,ENSG00000103257,Gene Expression,GRCh38,3270.0,SLC7A5,3124
PAG1,ENSG00000076641,Gene Expression,GRCh38,2394.0,PAG1,2289
AC022784.3,ENSG00000253426,Gene Expression,GRCh38,20.0,AC022784.3,19
LINC01759,ENSG00000234546,Gene Expression,GRCh38,43.0,LINC01759,42
RGS2,ENSG00000116741,Gene Expression,GRCh38,425.0,RGS2,418
FZR1,ENSG00000105325,Gene Expression,GRCh38,495.0,FZR1,481
TLDC1,ENSG00000140950,Gene Expression,GRCh38,1236.0,TLDC1,1195
RBSN,ENSG00000131381,Gene Expression,GRCh38,497.0,RBSN,492
LINC02223,ENSG00000249937,Gene Expression,GRCh38,1.0,LINC02223,1
ROR2,ENSG00000169071,Gene Expression,GRCh38,3.0,ROR2,3
MREG,ENSG00000118242,Gene Expression,GRCh38,378.0,MREG,367
CDCP1,ENSG00000163814,Gene Expression,GRCh38,482.0,CDCP1,464
PCDHGA9,ENSG00000261934,Gene Expression,GRCh38,1.0,PCDHGA9,1
KRTAP12-2,ENSG00000221864,Gene Expression,GRCh38,1.0,KRTAP12-2,1
SPG21,ENSG00000090487,Gene Expression,GRCh38,3066.0,SPG21,2899
IRAK3,ENSG00000090376,Gene Expression,GRCh38,19.0,IRAK3,18
MRPL11,ENSG00000174547,Gene Expression,GRCh38,1331.0,MRPL11,1287
CLIP4,ENSG00000115295,Gene Expression,GRCh38,1575.0,CLIP4,1534
AC090826.1,ENSG00000261821,Gene Expression,GRCh38,162.0,AC090826.1,156
ANKRA2,ENSG00000164331,Gene Expression,GRCh38,673.0,ANKRA2,651
COX5B,ENSG00000135940,Gene Expression,GRCh38,14412.0,COX5B,12435
BACE2,ENSG00000182240,Gene Expression,GRCh38,3920.0,BACE2,3664
LTBP2,ENSG00000119681,Gene Expression,GRCh38,4.0,LTBP2,4
TRIM22,ENSG00000132274,Gene Expression,GRCh38,878.0,TRIM22,862
APOBEC3B,ENSG00000179750,Gene Expression,GRCh38,10.0,APOBEC3B,10
SMPD2,ENSG00000135587,Gene Expression,GRCh38,299.0,SMPD2,293
AC135050.4,ENSG00000261124,Gene Expression,GRCh38,2.0,AC135050.4,2
AGAP1,ENSG00000157985,Gene Expression,GRCh38,557.0,AGAP1,541
TEX45,ENSG00000198723,Gene Expression,GRCh38,3.0,TEX45,3
AC093495.1,ENSG00000228242,Gene Expression,GRCh38,14.0,AC093495.1,14
NOTCH2NL,ENSG00000264343,Gene Expression,GRCh38,94.0,NOTCH2NL,92
MED8,ENSG00000159479,Gene Expression,GRCh38,1990.0,MED8,1907
AC096711.3,ENSG00000251598,Gene Expression,GRCh38,4.0,AC096711.3,4
LINC02151,ENSG00000236437,Gene Expression,GRCh38,1.0,LINC02151,1
SPINK2,ENSG00000128040,Gene Expression,GRCh38,2.0,SPINK2,2
AKAP1,ENSG00000121057,Gene Expression,GRCh38,360.0,AKAP1,340
KIAA1324L,ENSG00000164659,Gene Expression,GRCh38,159.0,KIAA1324L,153
AHDC1,ENSG00000126705,Gene Expression,GRCh38,235.0,AHDC1,230
AC131009.2,ENSG00000256955,Gene Expression,GRCh38,5.0,AC131009.2,4
NELFE,ENSG00000204356,Gene Expression,GRCh38,1665.0,NELFE,1614
TNFRSF25,ENSG00000215788,Gene Expression,GRCh38,330.0,TNFRSF25,320
ZNF449,ENSG00000173275,Gene Expression,GRCh38,108.0,ZNF449,108
AC145285.6,ENSG00000275807,Gene Expression,GRCh38,9.0,AC145285.6,9
CYP2S1,ENSG00000167600,Gene Expression,GRCh38,8.0,CYP2S1,8
ZG16B,ENSG00000162078,Gene Expression,GRCh38,341.0,ZG16B,333
AC100814.1,ENSG00000272010,Gene Expression,GRCh38,22.0,AC100814.1,22
DOK7,ENSG00000175920,Gene Expression,GRCh38,1.0,DOK7,1
WNT9A,ENSG00000143816,Gene Expression,GRCh38,6.0,WNT9A,6
UBA3,ENSG00000144744,Gene Expression,GRCh38,1439.0,UBA3,1405
UBE2D4,ENSG00000078967,Gene Expression,GRCh38,334.0,UBE2D4,324
SFN,ENSG00000175793,Gene Expression,GRCh38,1102.0,SFN,1067
ALG1L,ENSG00000189366,Gene Expression,GRCh38,51.0,ALG1L,49
POMT1,ENSG00000130714,Gene Expression,GRCh38,459.0,POMT1,442
RNASEH1-AS1,ENSG00000234171,Gene Expression,GRCh38,74.0,RNASEH1-AS1,74
SUPV3L1,ENSG00000156502,Gene Expression,GRCh38,397.0,SUPV3L1,384
BCL2L2-PABPN1,ENSG00000258643,Gene Expression,GRCh38,2.0,BCL2L2-PABPN1,2
PHTF1,ENSG00000116793,Gene Expression,GRCh38,149.0,PHTF1,148
HIST1H2AG,ENSG00000196787,Gene Expression,GRCh38,149.0,HIST1H2AG,146
FOXA1,ENSG00000129514,Gene Expression,GRCh38,3.0,FOXA1,3
PPP1R13B,ENSG00000088808,Gene Expression,GRCh38,186.0,PPP1R13B,183
MINOS1,ENSG00000173436,Gene Expression,GRCh38,4376.0,MINOS1,4062
CXorf36,ENSG00000147113,Gene Expression,GRCh38,3.0,CXorf36,3
ADAM7,ENSG00000069206,Gene Expression,GRCh38,1.0,ADAM7,1
BRCA1,ENSG00000012048,Gene Expression,GRCh38,124.0,BRCA1,122
AC010240.3,ENSG00000272023,Gene Expression,GRCh38,0.0,AC010240.3,0
GSTCD,ENSG00000138780,Gene Expression,GRCh38,357.0,GSTCD,348
AC144450.1,ENSG00000203635,Gene Expression,GRCh38,1.0,AC144450.1,1
ZNF821,ENSG00000102984,Gene Expression,GRCh38,127.0,ZNF821,124
HIST1H2AE,ENSG00000277075,Gene Expression,GRCh38,279.0,HIST1H2AE,266
ISCU,ENSG00000136003,Gene Expression,GRCh38,3096.0,ISCU,2929
SPOPL,ENSG00000144228,Gene Expression,GRCh38,506.0,SPOPL,493
IKBKG,ENSG00000269335,Gene Expression,GRCh38,768.0,IKBKG,747
TAF5,ENSG00000148835,Gene Expression,GRCh38,174.0,TAF5,174
AL049833.2,ENSG00000259026,Gene Expression,GRCh38,1.0,AL049833.2,1
HAUS1,ENSG00000152240,Gene Expression,GRCh38,1104.0,HAUS1,1057
NDC1,ENSG00000058804,Gene Expression,GRCh38,218.0,NDC1,216
TNFSF8,ENSG00000106952,Gene Expression,GRCh38,0.0,TNFSF8,0
AC012103.1,ENSG00000253376,Gene Expression,GRCh38,10.0,AC012103.1,9
FGD1,ENSG00000102302,Gene Expression,GRCh38,50.0,FGD1,48
EWSAT1,ENSG00000212766,Gene Expression,GRCh38,5.0,EWSAT1,5
AC245008.1,ENSG00000273406,Gene Expression,GRCh38,1.0,AC245008.1,1
MST1R,ENSG00000164078,Gene Expression,GRCh38,21.0,MST1R,21
AC103957.1,ENSG00000253505,Gene Expression,GRCh38,1.0,AC103957.1,1
S100A2,ENSG00000196754,Gene Expression,GRCh38,25.0,S100A2,24
MROH8,ENSG00000101353,Gene Expression,GRCh38,39.0,MROH8,38
UFSP2,ENSG00000109775,Gene Expression,GRCh38,717.0,UFSP2,692
STAM2,ENSG00000115145,Gene Expression,GRCh38,1144.0,STAM2,1120
AL035420.3,ENSG00000277235,Gene Expression,GRCh38,1.0,AL035420.3,1
BAIAP3,ENSG00000007516,Gene Expression,GRCh38,31.0,BAIAP3,31
KDM5A,ENSG00000073614,Gene Expression,GRCh38,2818.0,KDM5A,2620
ABCC6,ENSG00000091262,Gene Expression,GRCh38,5.0,ABCC6,5
GGT2,ENSG00000133475,Gene Expression,GRCh38,1.0,GGT2,1
PSMD13,ENSG00000185627,Gene Expression,GRCh38,3243.0,PSMD13,3120
AC015912.3,ENSG00000274213,Gene Expression,GRCh38,414.0,AC015912.3,397
AL358333.2,ENSG00000258928,Gene Expression,GRCh38,1.0,AL358333.2,1
OR2L2,ENSG00000203663,Gene Expression,GRCh38,2.0,OR2L2,2
CAMTA2,ENSG00000108509,Gene Expression,GRCh38,1040.0,CAMTA2,1010
MAEL,ENSG00000143194,Gene Expression,GRCh38,34.0,MAEL,34
LDLRAD4,ENSG00000168675,Gene Expression,GRCh38,3.0,LDLRAD4,3
HOXD-AS2,ENSG00000237380,Gene Expression,GRCh38,7.0,HOXD-AS2,7
AC004477.2,ENSG00000266341,Gene Expression,GRCh38,3.0,AC004477.2,3
CACNA2D4,ENSG00000151062,Gene Expression,GRCh38,1.0,CACNA2D4,1
NAA40,ENSG00000110583,Gene Expression,GRCh38,727.0,NAA40,701
EXOSC4,ENSG00000178896,Gene Expression,GRCh38,965.0,EXOSC4,941
AL627309.4,ENSG00000241599,Gene Expression,GRCh38,2.0,AL627309.4,2
CLRN1-AS1,ENSG00000239265,Gene Expression,GRCh38,5.0,CLRN1-AS1,5
LINC02230,ENSG00000251543,Gene Expression,GRCh38,1.0,LINC02230,1
INF2,ENSG00000203485,Gene Expression,GRCh38,4594.0,INF2,4336
AL356481.1,ENSG00000228395,Gene Expression,GRCh38,27.0,AL356481.1,26
MXI1,ENSG00000119950,Gene Expression,GRCh38,974.0,MXI1,929
WDR5,ENSG00000196363,Gene Expression,GRCh38,588.0,WDR5,570
UXT-AS1,ENSG00000267064,Gene Expression,GRCh38,2.0,UXT-AS1,2
GPATCH4,ENSG00000160818,Gene Expression,GRCh38,1041.0,GPATCH4,973
LY96,ENSG00000154589,Gene Expression,GRCh38,13.0,LY96,12
AC005332.3,ENSG00000267731,Gene Expression,GRCh38,2.0,AC005332.3,2
TCF12,ENSG00000140262,Gene Expression,GRCh38,1463.0,TCF12,1416
TMEM106A,ENSG00000184988,Gene Expression,GRCh38,529.0,TMEM106A,497
GRIP2,ENSG00000144596,Gene Expression,GRCh38,19.0,GRIP2,19
ASL,ENSG00000126522,Gene Expression,GRCh38,1468.0,ASL,1414
C9orf62,ENSG00000178243,Gene Expression,GRCh38,1.0,C9orf62,1
AC138393.3,ENSG00000278467,Gene Expression,GRCh38,0.0,AC138393.3,0
DEFB1,ENSG00000164825,Gene Expression,GRCh38,57.0,DEFB1,56
ACBD7,ENSG00000176244,Gene Expression,GRCh38,1.0,ACBD7,1
MKX,ENSG00000150051,Gene Expression,GRCh38,29.0,MKX,28
IDH1-AS1,ENSG00000231908,Gene Expression,GRCh38,21.0,IDH1-AS1,19
MTHFS,ENSG00000136371,Gene Expression,GRCh38,436.0,MTHFS,426
AL138831.2,ENSG00000272248,Gene Expression,GRCh38,1.0,AL138831.2,1
SRSF8,ENSG00000263465,Gene Expression,GRCh38,1591.0,SRSF8,1527
TOGARAM2,ENSG00000189350,Gene Expression,GRCh38,1544.0,TOGARAM2,1432
TWIST1,ENSG00000122691,Gene Expression,GRCh38,1104.0,TWIST1,1080
NR4A1,ENSG00000123358,Gene Expression,GRCh38,2048.0,NR4A1,1963
POLR2E,ENSG00000099817,Gene Expression,GRCh38,2577.0,POLR2E,2487
GLO1,ENSG00000124767,Gene Expression,GRCh38,6432.0,GLO1,5929
RNASE9,ENSG00000188655,Gene Expression,GRCh38,6.0,RNASE9,6
NDRG4,ENSG00000103034,Gene Expression,GRCh38,11.0,NDRG4,10
AL121772.1,ENSG00000274414,Gene Expression,GRCh38,5.0,AL121772.1,5
AL021408.1,ENSG00000236166,Gene Expression,GRCh38,1.0,AL021408.1,1
AC079148.1,ENSG00000260331,Gene Expression,GRCh38,0.0,AC079148.1,0
ACOT9,ENSG00000123130,Gene Expression,GRCh38,573.0,ACOT9,558
ARL9,ENSG00000196503,Gene Expression,GRCh38,11.0,ARL9,11
SINHCAF,ENSG00000139146,Gene Expression,GRCh38,3368.0,SINHCAF,3207
AC005837.1,ENSG00000261335,Gene Expression,GRCh38,10.0,AC005837.1,10
LINC01972,ENSG00000230401,Gene Expression,GRCh38,3.0,LINC01972,3
POMP,ENSG00000132963,Gene Expression,GRCh38,25443.0,POMP,19244
COMMD5,ENSG00000170619,Gene Expression,GRCh38,532.0,COMMD5,524
AC135048.3,ENSG00000275263,Gene Expression,GRCh38,6.0,AC135048.3,6
AP005057.1,ENSG00000264080,Gene Expression,GRCh38,7.0,AP005057.1,7
TCP11L2,ENSG00000166046,Gene Expression,GRCh38,65.0,TCP11L2,64
CDADC1,ENSG00000102543,Gene Expression,GRCh38,178.0,CDADC1,174
ATF7,ENSG00000170653,Gene Expression,GRCh38,781.0,ATF7,758
AKNA,ENSG00000106948,Gene Expression,GRCh38,405.0,AKNA,394
C1orf112,ENSG00000000460,Gene Expression,GRCh38,73.0,C1orf112,73
FUNDC2,ENSG00000165775,Gene Expression,GRCh38,1460.0,FUNDC2,1394
AKT3,ENSG00000117020,Gene Expression,GRCh38,1282.0,AKT3,1248
RNF126,ENSG00000070423,Gene Expression,GRCh38,1774.0,RNF126,1725
LTBP4,ENSG00000090006,Gene Expression,GRCh38,90.0,LTBP4,87
AC008056.2,ENSG00000259106,Gene Expression,GRCh38,1.0,AC008056.2,1
POLR2C,ENSG00000102978,Gene Expression,GRCh38,1392.0,POLR2C,1351
RYBP,ENSG00000163602,Gene Expression,GRCh38,14144.0,RYBP,12237
LCN2,ENSG00000148346,Gene Expression,GRCh38,724.0,LCN2,702
SNTN,ENSG00000188817,Gene Expression,GRCh38,8.0,SNTN,8
PRKG1,ENSG00000185532,Gene Expression,GRCh38,480.0,PRKG1,472
ANTXR1,ENSG00000169604,Gene Expression,GRCh38,800.0,ANTXR1,778
AL591368.1,ENSG00000233926,Gene Expression,GRCh38,2.0,AL591368.1,2
ABHD13,ENSG00000139826,Gene Expression,GRCh38,407.0,ABHD13,399
HYAL2,ENSG00000068001,Gene Expression,GRCh38,972.0,HYAL2,939
GEM,ENSG00000164949,Gene Expression,GRCh38,163.0,GEM,161
CHKA,ENSG00000110721,Gene Expression,GRCh38,143.0,CHKA,135
OXER1,ENSG00000162881,Gene Expression,GRCh38,3.0,OXER1,3
FAAP100,ENSG00000185504,Gene Expression,GRCh38,322.0,FAAP100,315
TUBB4A,ENSG00000104833,Gene Expression,GRCh38,4.0,TUBB4A,4
ABTB1,ENSG00000114626,Gene Expression,GRCh38,607.0,ABTB1,600
AC022167.5,ENSG00000283516,Gene Expression,GRCh38,4.0,AC022167.5,4
ENTPD6,ENSG00000197586,Gene Expression,GRCh38,765.0,ENTPD6,746
APIP,ENSG00000149089,Gene Expression,GRCh38,480.0,APIP,465
LINC00184,ENSG00000224939,Gene Expression,GRCh38,1.0,LINC00184,1
DNHD1,ENSG00000179532,Gene Expression,GRCh38,26.0,DNHD1,26
CHST15,ENSG00000182022,Gene Expression,GRCh38,112.0,CHST15,109
HARS2,ENSG00000112855,Gene Expression,GRCh38,235.0,HARS2,230
UBXN10-AS1,ENSG00000225986,Gene Expression,GRCh38,8.0,UBXN10-AS1,8
WAS,ENSG00000015285,Gene Expression,GRCh38,1.0,WAS,1
MROH2B,ENSG00000171495,Gene Expression,GRCh38,1.0,MROH2B,1
LINC01771,ENSG00000225675,Gene Expression,GRCh38,4.0,LINC01771,4
IGHA2,ENSG00000211890,Gene Expression,GRCh38,91.0,IGHA2,90
